#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.151812E+04   0.158662E+00   0.000000E+00  -0.532655E+00   0.131418E-06   0.734811E-03  -0.110095E-05
    56   0.153915E+04   0.167797E+00   0.000000E+00  -0.785815E+00   0.130825E-06   0.721420E-03  -0.987676E-06
    57   0.156050E+04   0.177224E+00   0.000000E+00  -0.105400E+01   0.130220E-06   0.708629E-03  -0.785450E-06
    58   0.158213E+04   0.186939E+00   0.000000E+00  -0.133672E+01   0.129606E-06   0.696369E-03  -0.548538E-06
    59   0.160396E+04   0.196941E+00   0.000000E+00  -0.163320E+01   0.128981E-06   0.684571E-03  -0.331102E-06
    60   0.162595E+04   0.207219E+00   0.000000E+00  -0.194225E+01   0.128348E-06   0.673169E-03  -0.187213E-06
    61   0.164813E+04   0.217765E+00   0.000000E+00  -0.226289E+01   0.127706E-06   0.662094E-03  -0.156469E-06
    62   0.167050E+04   0.228578E+00   0.000000E+00  -0.259533E+01   0.127057E-06   0.651275E-03  -0.220888E-06
    63   0.169306E+04   0.239659E+00   0.000000E+00  -0.294011E+01   0.126401E-06   0.640642E-03  -0.348147E-06
    64   0.171584E+04   0.251008E+00   0.000000E+00  -0.329774E+01   0.125740E-06   0.630123E-03  -0.505980E-06
    65   0.173884E+04   0.262626E+00   0.000000E+00  -0.366880E+01   0.125074E-06   0.619648E-03  -0.662168E-06
    66   0.176212E+04   0.274510E+00   0.000000E+00  -0.405381E+01   0.124405E-06   0.609175E-03  -0.789547E-06
    67   0.178564E+04   0.286651E+00   0.000000E+00  -0.445226E+01   0.123733E-06   0.598782E-03  -0.881013E-06
    68   0.180938E+04   0.299039E+00   0.000000E+00  -0.486336E+01   0.123058E-06   0.588572E-03  -0.934474E-06
    69   0.183328E+04   0.311664E+00   0.000000E+00  -0.528635E+01   0.122381E-06   0.578651E-03  -0.947837E-06
    70   0.185732E+04   0.324518E+00   0.000000E+00  -0.572065E+01   0.121703E-06   0.569124E-03  -0.919012E-06
    71   0.188147E+04   0.337595E+00   0.000000E+00  -0.616602E+01   0.121023E-06   0.560069E-03  -0.849039E-06
    72   0.190585E+04   0.350891E+00   0.000000E+00  -0.662329E+01   0.120342E-06   0.551460E-03  -0.751482E-06
    73   0.193057E+04   0.364400E+00   0.000000E+00  -0.709333E+01   0.119660E-06   0.543244E-03  -0.643015E-06
    74   0.195563E+04   0.378110E+00   0.000000E+00  -0.757596E+01   0.118976E-06   0.535366E-03  -0.540296E-06
    75   0.198106E+04   0.392010E+00   0.000000E+00  -0.807064E+01   0.118292E-06   0.527774E-03  -0.459962E-06
    76   0.200680E+04   0.406084E+00   0.000000E+00  -0.857681E+01   0.117606E-06   0.520416E-03  -0.415294E-06
    77   0.203272E+04   0.420322E+00   0.000000E+00  -0.909309E+01   0.116920E-06   0.513245E-03  -0.406205E-06
    78   0.205881E+04   0.434715E+00   0.000000E+00  -0.961917E+01   0.116234E-06   0.506215E-03  -0.429266E-06
    79   0.208512E+04   0.449252E+00   0.000000E+00  -0.101550E+02   0.115547E-06   0.499279E-03  -0.481057E-06
    80   0.211166E+04   0.463922E+00   0.000000E+00  -0.107007E+02   0.114862E-06   0.492392E-03  -0.558160E-06
    81   0.213847E+04   0.478716E+00   0.000000E+00  -0.112562E+02   0.114177E-06   0.485521E-03  -0.656026E-06
    82   0.216554E+04   0.493623E+00   0.000000E+00  -0.118210E+02   0.113493E-06   0.478686E-03  -0.765559E-06
    83   0.219286E+04   0.508632E+00   0.000000E+00  -0.123948E+02   0.112811E-06   0.471920E-03  -0.876540E-06
    84   0.222043E+04   0.523732E+00   0.000000E+00  -0.129771E+02   0.112131E-06   0.465257E-03  -0.978753E-06
    85   0.224823E+04   0.538910E+00   0.000000E+00  -0.135675E+02   0.111453E-06   0.458730E-03  -0.106200E-05
    86   0.227627E+04   0.554159E+00   0.000000E+00  -0.141655E+02   0.110777E-06   0.452365E-03  -0.111862E-05
    87   0.230450E+04   0.569464E+00   0.000000E+00  -0.147706E+02   0.110103E-06   0.446165E-03  -0.115117E-05
    88   0.233292E+04   0.584812E+00   0.000000E+00  -0.153821E+02   0.109432E-06   0.440123E-03  -0.116475E-05
    89   0.236153E+04   0.600190E+00   0.000000E+00  -0.159996E+02   0.108764E-06   0.434235E-03  -0.116444E-05
    90   0.239033E+04   0.615580E+00   0.000000E+00  -0.166227E+02   0.108099E-06   0.428494E-03  -0.115532E-05
    91   0.241934E+04   0.630969E+00   0.000000E+00  -0.172508E+02   0.107437E-06   0.422897E-03  -0.114169E-05
    92   0.244856E+04   0.646343E+00   0.000000E+00  -0.178838E+02   0.106777E-06   0.417437E-03  -0.112473E-05
    93   0.247800E+04   0.661686E+00   0.000000E+00  -0.185211E+02   0.106121E-06   0.412110E-03  -0.110482E-05
    94   0.250765E+04   0.676987E+00   0.000000E+00  -0.191625E+02   0.105468E-06   0.406913E-03  -0.108233E-05
    95   0.253753E+04   0.692230E+00   0.000000E+00  -0.198076E+02   0.104818E-06   0.401839E-03  -0.105766E-05
    96   0.256764E+04   0.707401E+00   0.000000E+00  -0.204559E+02   0.104172E-06   0.396885E-03  -0.103120E-05
    97   0.259796E+04   0.722485E+00   0.000000E+00  -0.211070E+02   0.103529E-06   0.392046E-03  -0.100332E-05
    98   0.262852E+04   0.737469E+00   0.000000E+00  -0.217604E+02   0.102889E-06   0.387318E-03  -0.974405E-06
    99   0.265929E+04   0.752336E+00   0.000000E+00  -0.224158E+02   0.102252E-06   0.382696E-03  -0.944847E-06
   100   0.269028E+04   0.767077E+00   0.000000E+00  -0.230725E+02   0.101619E-06   0.378175E-03  -0.915025E-06
   101   0.272148E+04   0.781677E+00   0.000000E+00  -0.237301E+02   0.100990E-06   0.373752E-03  -0.885324E-06
   102   0.275291E+04   0.796113E+00   0.000000E+00  -0.243883E+02   0.100364E-06   0.369421E-03  -0.856125E-06
   103   0.278453E+04   0.810385E+00   0.000000E+00  -0.250463E+02   0.997420E-07   0.365177E-03  -0.827812E-06
   104   0.281636E+04   0.824466E+00   0.000000E+00  -0.257038E+02   0.991236E-07   0.361018E-03  -0.800768E-06
   105   0.284838E+04   0.838346E+00   0.000000E+00  -0.263601E+02   0.985089E-07   0.356937E-03  -0.775374E-06
   106   0.288059E+04   0.852013E+00   0.000000E+00  -0.270147E+02   0.978981E-07   0.352930E-03  -0.752014E-06
   107   0.291298E+04   0.865458E+00   0.000000E+00  -0.276671E+02   0.972912E-07   0.348994E-03  -0.731069E-06
   108   0.294554E+04   0.878660E+00   0.000000E+00  -0.283168E+02   0.966882E-07   0.345123E-03  -0.712922E-06
   109   0.297827E+04   0.891611E+00   0.000000E+00  -0.289631E+02   0.960893E-07   0.341313E-03  -0.697954E-06
   110   0.301116E+04   0.904291E+00   0.000000E+00  -0.296055E+02   0.954945E-07   0.337560E-03  -0.686546E-06
   111   0.304420E+04   0.916690E+00   0.000000E+00  -0.302436E+02   0.949038E-07   0.333860E-03  -0.678976E-06
   112   0.307740E+04   0.928803E+00   0.000000E+00  -0.308767E+02   0.943172E-07   0.330211E-03  -0.675096E-06
   113   0.311074E+04   0.940606E+00   0.000000E+00  -0.315042E+02   0.937348E-07   0.326614E-03  -0.674656E-06
   114   0.314421E+04   0.952085E+00   0.000000E+00  -0.321257E+02   0.931566E-07   0.323067E-03  -0.677404E-06
   115   0.317781E+04   0.963240E+00   0.000000E+00  -0.327404E+02   0.925824E-07   0.319571E-03  -0.683089E-06
   116   0.321154E+04   0.974055E+00   0.000000E+00  -0.333479E+02   0.920125E-07   0.316124E-03  -0.691460E-06
   117   0.324538E+04   0.984509E+00   0.000000E+00  -0.339475E+02   0.914466E-07   0.312727E-03  -0.702266E-06
   118   0.327933E+04   0.994601E+00   0.000000E+00  -0.345388E+02   0.908849E-07   0.309380E-03  -0.715257E-06
   119   0.331339E+04   0.100432E+01   0.000000E+00  -0.351210E+02   0.903272E-07   0.306080E-03  -0.730182E-06
   120   0.334753E+04   0.101365E+01   0.000000E+00  -0.356938E+02   0.897737E-07   0.302830E-03  -0.746791E-06
   121   0.338177E+04   0.102258E+01   0.000000E+00  -0.362564E+02   0.892244E-07   0.299626E-03  -0.764832E-06
   122   0.341607E+04   0.103110E+01   0.000000E+00  -0.368084E+02   0.886791E-07   0.296471E-03  -0.784057E-06
   123   0.345045E+04   0.103921E+01   0.000000E+00  -0.373492E+02   0.881380E-07   0.293362E-03  -0.804215E-06
   124   0.348489E+04   0.104690E+01   0.000000E+00  -0.378782E+02   0.876009E-07   0.290300E-03  -0.825056E-06
   125   0.351937E+04   0.105415E+01   0.000000E+00  -0.383949E+02   0.870680E-07   0.287284E-03  -0.846331E-06
   126   0.355390E+04   0.106096E+01   0.000000E+00  -0.388988E+02   0.865392E-07   0.284313E-03  -0.867789E-06
   127   0.358847E+04   0.106732E+01   0.000000E+00  -0.393892E+02   0.860146E-07   0.281388E-03  -0.889180E-06
   128   0.362305E+04   0.107323E+01   0.000000E+00  -0.398657E+02   0.854940E-07   0.278508E-03  -0.910256E-06
   129   0.365766E+04   0.107867E+01   0.000000E+00  -0.403278E+02   0.849776E-07   0.275672E-03  -0.930767E-06
   130   0.369228E+04   0.108364E+01   0.000000E+00  -0.407748E+02   0.844652E-07   0.272880E-03  -0.950463E-06
