#    L    TT             EE             TE             PP             TP          
    75   0.198106E+04   0.392010E+00  -0.807064E+01   0.537678E+07   0.886024E+04
    76   0.200680E+04   0.406084E+00  -0.857681E+01   0.534747E+07   0.873899E+04
    77   0.203272E+04   0.420322E+00  -0.909309E+01   0.531807E+07   0.862075E+04
    78   0.205881E+04   0.434715E+00  -0.961917E+01   0.528858E+07   0.850477E+04
    79   0.208512E+04   0.449252E+00  -0.101550E+02   0.525904E+07   0.839026E+04
    80   0.211166E+04   0.463922E+00  -0.107007E+02   0.522947E+07   0.827646E+04
    81   0.213847E+04   0.478716E+00  -0.112562E+02   0.519987E+07   0.816283E+04
    82   0.216554E+04   0.493623E+00  -0.118210E+02   0.517028E+07   0.804971E+04
    83   0.219286E+04   0.508632E+00  -0.123948E+02   0.514070E+07   0.793766E+04
    84   0.222043E+04   0.523732E+00  -0.129771E+02   0.511115E+07   0.782725E+04
    85   0.224823E+04   0.538910E+00  -0.135675E+02   0.508164E+07   0.771905E+04
    86   0.227627E+04   0.554159E+00  -0.141655E+02   0.505219E+07   0.761350E+04
    87   0.230450E+04   0.569464E+00  -0.147706E+02   0.502280E+07   0.751063E+04
    88   0.233292E+04   0.584812E+00  -0.153821E+02   0.499348E+07   0.741036E+04
    89   0.236153E+04   0.600190E+00  -0.159996E+02   0.496425E+07   0.731261E+04
    90   0.239033E+04   0.615580E+00  -0.166227E+02   0.493510E+07   0.721727E+04
    91   0.241934E+04   0.630969E+00  -0.172508E+02   0.490605E+07   0.712427E+04
    92   0.244856E+04   0.646343E+00  -0.178838E+02   0.487709E+07   0.703354E+04
    93   0.247800E+04   0.661686E+00  -0.185211E+02   0.484824E+07   0.694500E+04
    94   0.250765E+04   0.676987E+00  -0.191625E+02   0.481950E+07   0.685857E+04
    95   0.253753E+04   0.692230E+00  -0.198076E+02   0.479087E+07   0.677418E+04
    96   0.256764E+04   0.707401E+00  -0.204559E+02   0.476235E+07   0.669176E+04
    97   0.259796E+04   0.722485E+00  -0.211070E+02   0.473395E+07   0.661123E+04
    98   0.262852E+04   0.737469E+00  -0.217604E+02   0.470567E+07   0.653251E+04
    99   0.265929E+04   0.752336E+00  -0.224158E+02   0.467752E+07   0.645555E+04
   100   0.269028E+04   0.767077E+00  -0.230725E+02   0.464950E+07   0.638024E+04
   101   0.272148E+04   0.781677E+00  -0.237301E+02   0.462160E+07   0.630654E+04
   102   0.275291E+04   0.796113E+00  -0.243883E+02   0.459385E+07   0.623436E+04
   103   0.278453E+04   0.810385E+00  -0.250463E+02   0.456623E+07   0.616362E+04
   104   0.281636E+04   0.824466E+00  -0.257038E+02   0.453876E+07   0.609425E+04
   105   0.284838E+04   0.838346E+00  -0.263601E+02   0.451143E+07   0.602618E+04
   106   0.288059E+04   0.852013E+00  -0.270147E+02   0.448426E+07   0.595934E+04
   107   0.291298E+04   0.865458E+00  -0.276671E+02   0.445724E+07   0.589365E+04
   108   0.294554E+04   0.878660E+00  -0.283168E+02   0.443037E+07   0.582903E+04
