#    L    TT             EE             TE             PP             TP          
   862   0.234869E+04   0.139738E+02   0.217956E+02   0.397996E+06   0.149251E+03
   863   0.233944E+04   0.141493E+02   0.233879E+02   0.397285E+06   0.148462E+03
   864   0.233003E+04   0.143303E+02   0.249568E+02   0.396576E+06   0.147669E+03
   865   0.232048E+04   0.145169E+02   0.265016E+02   0.395869E+06   0.146874E+03
   866   0.231079E+04   0.147089E+02   0.280219E+02   0.395163E+06   0.146076E+03
   867   0.230096E+04   0.149065E+02   0.295177E+02   0.394460E+06   0.145274E+03
   868   0.229098E+04   0.151092E+02   0.309887E+02   0.393758E+06   0.144470E+03
   869   0.228088E+04   0.153172E+02   0.324349E+02   0.393059E+06   0.143663E+03
   870   0.227063E+04   0.155305E+02   0.338560E+02   0.392361E+06   0.142853E+03
   871   0.226025E+04   0.157486E+02   0.352518E+02   0.391665E+06   0.142041E+03
   872   0.224974E+04   0.159717E+02   0.366222E+02   0.390971E+06   0.141226E+03
   873   0.223910E+04   0.161996E+02   0.379666E+02   0.390279E+06   0.140408E+03
   874   0.222834E+04   0.164322E+02   0.392845E+02   0.389589E+06   0.139588E+03
   875   0.221747E+04   0.166695E+02   0.405752E+02   0.388900E+06   0.138765E+03
   876   0.220648E+04   0.169111E+02   0.418384E+02   0.388214E+06   0.137940E+03
   877   0.219538E+04   0.171572E+02   0.430733E+02   0.387529E+06   0.137113E+03
   878   0.218419E+04   0.174074E+02   0.442794E+02   0.386846E+06   0.136283E+03
   879   0.217290E+04   0.176618E+02   0.454562E+02   0.386165E+06   0.135450E+03
   880   0.216152E+04   0.179202E+02   0.466032E+02   0.385486E+06   0.134616E+03
   881   0.215004E+04   0.181826E+02   0.477198E+02   0.384808E+06   0.133779E+03
   882   0.213849E+04   0.184489E+02   0.488057E+02   0.384133E+06   0.132940E+03
   883   0.212684E+04   0.187190E+02   0.498602E+02   0.383459E+06   0.132099E+03
   884   0.211510E+04   0.189928E+02   0.508829E+02   0.382787E+06   0.131256E+03
   885   0.210329E+04   0.192703E+02   0.518734E+02   0.382116E+06   0.130411E+03
   886   0.209139E+04   0.195513E+02   0.528311E+02   0.381448E+06   0.129564E+03
   887   0.207941E+04   0.198357E+02   0.537560E+02   0.380781E+06   0.128715E+03
   888   0.206736E+04   0.201235E+02   0.546479E+02   0.380116E+06   0.127864E+03
   889   0.205524E+04   0.204145E+02   0.555070E+02   0.379453E+06   0.127011E+03
   890   0.204305E+04   0.207086E+02   0.563330E+02   0.378791E+06   0.126156E+03
   891   0.203080E+04   0.210056E+02   0.571260E+02   0.378131E+06   0.125300E+03
   892   0.201848E+04   0.213055E+02   0.578858E+02   0.377473E+06   0.124442E+03
   893   0.200611E+04   0.216081E+02   0.586126E+02   0.376817E+06   0.123583E+03
   894   0.199369E+04   0.219132E+02   0.593060E+02   0.376162E+06   0.122721E+03
   895   0.198122E+04   0.222208E+02   0.599659E+02   0.375509E+06   0.121859E+03
   896   0.196871E+04   0.225307E+02   0.605922E+02   0.374858E+06   0.120995E+03
   897   0.195615E+04   0.228427E+02   0.611849E+02   0.374209E+06   0.120129E+03
   898   0.194355E+04   0.231567E+02   0.617436E+02   0.373561E+06   0.119262E+03
   899   0.193093E+04   0.234725E+02   0.622684E+02   0.372915E+06   0.118394E+03
   900   0.191828E+04   0.237901E+02   0.627590E+02   0.372270E+06   0.117524E+03
   901   0.190559E+04   0.241092E+02   0.632153E+02   0.371627E+06   0.116653E+03
   902   0.189289E+04   0.244298E+02   0.636373E+02   0.370986E+06   0.115781E+03
   903   0.188018E+04   0.247517E+02   0.640247E+02   0.370347E+06   0.114908E+03
   904   0.186745E+04   0.250749E+02   0.643776E+02   0.369709E+06   0.114034E+03
   905   0.185472E+04   0.253990E+02   0.646958E+02   0.369072E+06   0.113159E+03
   906   0.184197E+04   0.257242E+02   0.649791E+02   0.368438E+06   0.112283E+03
   907   0.182924E+04   0.260502E+02   0.652276E+02   0.367805E+06   0.111406E+03
   908   0.181650E+04   0.263768E+02   0.654411E+02   0.367174E+06   0.110529E+03
   909   0.180378E+04   0.267041E+02   0.656198E+02   0.366544E+06   0.109651E+03
   910   0.179105E+04   0.270319E+02   0.657637E+02   0.365916E+06   0.108773E+03
   911   0.177835E+04   0.273599E+02   0.658729E+02   0.365289E+06   0.107895E+03
   912   0.176567E+04   0.276882E+02   0.659475E+02   0.364665E+06   0.107016E+03
   913   0.175300E+04   0.280167E+02   0.659876E+02   0.364041E+06   0.106136E+03
   914   0.174036E+04   0.283450E+02   0.659931E+02   0.363420E+06   0.105257E+03
   915   0.172775E+04   0.286732E+02   0.659641E+02   0.362800E+06   0.104378E+03
   916   0.171517E+04   0.290012E+02   0.659010E+02   0.362181E+06   0.103498E+03
   917   0.170262E+04   0.293287E+02   0.658035E+02   0.361564E+06   0.102619E+03
   918   0.169010E+04   0.296557E+02   0.656722E+02   0.360949E+06   0.101740E+03
   919   0.167762E+04   0.299819E+02   0.655068E+02   0.360335E+06   0.100861E+03
   920   0.166519E+04   0.303073E+02   0.653077E+02   0.359723E+06   0.999825E+02
   921   0.165280E+04   0.306317E+02   0.650749E+02   0.359112E+06   0.991045E+02
   922   0.164045E+04   0.309550E+02   0.648088E+02   0.358503E+06   0.982270E+02
   923   0.162817E+04   0.312771E+02   0.645096E+02   0.357896E+06   0.973501E+02
   924   0.161593E+04   0.315978E+02   0.641778E+02   0.357290E+06   0.964739E+02
   925   0.160376E+04   0.319170E+02   0.638135E+02   0.356685E+06   0.955985E+02
   926   0.159165E+04   0.322346E+02   0.634173E+02   0.356083E+06   0.947240E+02
   927   0.157960E+04   0.325505E+02   0.629894E+02   0.355481E+06   0.938504E+02
   928   0.156763E+04   0.328646E+02   0.625301E+02   0.354881E+06   0.929779E+02
   929   0.155573E+04   0.331766E+02   0.620398E+02   0.354283E+06   0.921065E+02
   930   0.154391E+04   0.334865E+02   0.615186E+02   0.353686E+06   0.912362E+02
   931   0.153216E+04   0.337942E+02   0.609669E+02   0.353091E+06   0.903673E+02
   932   0.152050E+04   0.340995E+02   0.603849E+02   0.352497E+06   0.894998E+02
   933   0.150892E+04   0.344024E+02   0.597729E+02   0.351905E+06   0.886337E+02
   934   0.149743E+04   0.347025E+02   0.591312E+02   0.351314E+06   0.877691E+02
   935   0.148603E+04   0.349999E+02   0.584600E+02   0.350725E+06   0.869062E+02
   936   0.147472E+04   0.352943E+02   0.577597E+02   0.350137E+06   0.860450E+02
   937   0.146350E+04   0.355857E+02   0.570308E+02   0.349551E+06   0.851856E+02
   938   0.145238E+04   0.358740E+02   0.562734E+02   0.348966E+06   0.843280E+02
   939   0.144137E+04   0.361590E+02   0.554881E+02   0.348383E+06   0.834724E+02
   940   0.143045E+04   0.364406E+02   0.546753E+02   0.347801E+06   0.826189E+02
   941   0.141964E+04   0.367187E+02   0.538352E+02   0.347220E+06   0.817675E+02
   942   0.140894E+04   0.369932E+02   0.529682E+02   0.346641E+06   0.809183E+02
   943   0.139835E+04   0.372639E+02   0.520749E+02   0.346064E+06   0.800715E+02
   944   0.138787E+04   0.375308E+02   0.511558E+02   0.345488E+06   0.792270E+02
   945   0.137750E+04   0.377938E+02   0.502112E+02   0.344913E+06   0.783850E+02
   946   0.136725E+04   0.380527E+02   0.492416E+02   0.344340E+06   0.775455E+02
   947   0.135713E+04   0.383075E+02   0.482475E+02   0.343768E+06   0.767087E+02
   948   0.134712E+04   0.385580E+02   0.472295E+02   0.343198E+06   0.758746E+02
   949   0.133723E+04   0.388043E+02   0.461879E+02   0.342629E+06   0.750433E+02
   950   0.132748E+04   0.390461E+02   0.451233E+02   0.342061E+06   0.742149E+02
   951   0.131785E+04   0.392833E+02   0.440360E+02   0.341495E+06   0.733895E+02
   952   0.130835E+04   0.395159E+02   0.429267E+02   0.340930E+06   0.725670E+02
   953   0.129898E+04   0.397437E+02   0.417957E+02   0.340367E+06   0.717477E+02
   954   0.128974E+04   0.399667E+02   0.406436E+02   0.339805E+06   0.709314E+02
   955   0.128064E+04   0.401847E+02   0.394708E+02   0.339244E+06   0.701183E+02
   956   0.127167E+04   0.403977E+02   0.382779E+02   0.338685E+06   0.693084E+02
   957   0.126284E+04   0.406055E+02   0.370654E+02   0.338127E+06   0.685016E+02
   958   0.125415E+04   0.408083E+02   0.358340E+02   0.337571E+06   0.676982E+02
   959   0.124559E+04   0.410057E+02   0.345843E+02   0.337016E+06   0.668980E+02
   960   0.123719E+04   0.411980E+02   0.333171E+02   0.336462E+06   0.661011E+02
   961   0.122893E+04   0.413848E+02   0.320329E+02   0.335910E+06   0.653076E+02
   962   0.122081E+04   0.415663E+02   0.307323E+02   0.335359E+06   0.645176E+02
   963   0.121284E+04   0.417423E+02   0.294162E+02   0.334809E+06   0.637310E+02
   964   0.120502E+04   0.419128E+02   0.280848E+02   0.334261E+06   0.629478E+02
   965   0.119735E+04   0.420778E+02   0.267389E+02   0.333714E+06   0.621683E+02
   966   0.118983E+04   0.422371E+02   0.253790E+02   0.333169E+06   0.613922E+02
   967   0.118246E+04   0.423907E+02   0.240057E+02   0.332625E+06   0.606198E+02
   968   0.117524E+04   0.425384E+02   0.226196E+02   0.332082E+06   0.598511E+02
   969   0.116818E+04   0.426803E+02   0.212211E+02   0.331540E+06   0.590860E+02
   970   0.116127E+04   0.428162E+02   0.198109E+02   0.331000E+06   0.583247E+02
   971   0.115451E+04   0.429462E+02   0.183896E+02   0.330461E+06   0.575671E+02
   972   0.114791E+04   0.430702E+02   0.169578E+02   0.329924E+06   0.568133E+02
   973   0.114146E+04   0.431880E+02   0.155162E+02   0.329388E+06   0.560634E+02
   974   0.113517E+04   0.432998E+02   0.140653E+02   0.328853E+06   0.553174E+02
   975   0.112903E+04   0.434054E+02   0.126059E+02   0.328319E+06   0.545753E+02
   976   0.112305E+04   0.435049E+02   0.111384E+02   0.327787E+06   0.538372E+02
   977   0.111723E+04   0.435981E+02   0.966369E+01   0.327256E+06   0.531031E+02
   978   0.111157E+04   0.436852E+02   0.818218E+01   0.326726E+06   0.523730E+02
   979   0.110606E+04   0.437660E+02   0.669457E+01   0.326198E+06   0.516470E+02
   980   0.110071E+04   0.438404E+02   0.520141E+01   0.325671E+06   0.509252E+02
   981   0.109552E+04   0.439087E+02   0.370331E+01   0.325145E+06   0.502075E+02
   982   0.109049E+04   0.439705E+02   0.220087E+01   0.324621E+06   0.494940E+02
   983   0.108561E+04   0.440262E+02   0.694672E+00   0.324098E+06   0.487847E+02
   984   0.108089E+04   0.440754E+02  -0.814692E+00   0.323576E+06   0.480798E+02
   985   0.107633E+04   0.441183E+02  -0.232668E+01   0.323055E+06   0.473791E+02
   986   0.107193E+04   0.441548E+02  -0.384074E+01   0.322536E+06   0.466829E+02
   987   0.106768E+04   0.441849E+02  -0.535636E+01   0.322018E+06   0.459910E+02
   988   0.106360E+04   0.442085E+02  -0.687300E+01   0.321501E+06   0.453036E+02
   989   0.105966E+04   0.442257E+02  -0.839013E+01   0.320985E+06   0.446206E+02
   990   0.105589E+04   0.442363E+02  -0.990715E+01   0.320471E+06   0.439422E+02
   991   0.105226E+04   0.442404E+02  -0.114236E+02   0.319958E+06   0.432683E+02
   992   0.104881E+04   0.442380E+02  -0.129389E+02   0.319446E+06   0.425991E+02
   993   0.104549E+04   0.442290E+02  -0.144522E+02   0.318935E+06   0.419345E+02
   994   0.104235E+04   0.442135E+02  -0.159629E+02   0.318426E+06   0.412745E+02
   995   0.103935E+04   0.441916E+02  -0.174705E+02   0.317918E+06   0.406193E+02
   996   0.103650E+04   0.441633E+02  -0.189743E+02   0.317411E+06   0.399689E+02
   997   0.103381E+04   0.441284E+02  -0.204735E+02   0.316905E+06   0.393232E+02
   998   0.103128E+04   0.440870E+02  -0.219677E+02   0.316401E+06   0.386824E+02
   999   0.102889E+04   0.440393E+02  -0.234559E+02   0.315898E+06   0.380464E+02
  1000   0.102666E+04   0.439851E+02  -0.249376E+02   0.315396E+06   0.374154E+02
  1001   0.102457E+04   0.439245E+02  -0.264119E+02   0.314895E+06   0.367893E+02
  1002   0.102263E+04   0.438574E+02  -0.278783E+02   0.314395E+06   0.361682E+02
  1003   0.102084E+04   0.437839E+02  -0.293359E+02   0.313897E+06   0.355521E+02
  1004   0.101919E+04   0.437039E+02  -0.307841E+02   0.313400E+06   0.349410E+02
  1005   0.101767E+04   0.436175E+02  -0.322221E+02   0.312904E+06   0.343349E+02
  1006   0.101631E+04   0.435247E+02  -0.336496E+02   0.312409E+06   0.337338E+02
  1007   0.101507E+04   0.434258E+02  -0.350663E+02   0.311915E+06   0.331377E+02
  1008   0.101398E+04   0.433209E+02  -0.364719E+02   0.311423E+06   0.325467E+02
  1009   0.101302E+04   0.432101E+02  -0.378660E+02   0.310932E+06   0.319607E+02
  1010   0.101220E+04   0.430937E+02  -0.392483E+02   0.310441E+06   0.313798E+02
  1011   0.101151E+04   0.429716E+02  -0.406185E+02   0.309953E+06   0.308040E+02
  1012   0.101095E+04   0.428442E+02  -0.419762E+02   0.309465E+06   0.302332E+02
  1013   0.101051E+04   0.427112E+02  -0.433211E+02   0.308978E+06   0.296676E+02
  1014   0.101022E+04   0.425727E+02  -0.446525E+02   0.308493E+06   0.291071E+02
  1015   0.101004E+04   0.424286E+02  -0.459701E+02   0.308009E+06   0.285517E+02
  1016   0.100999E+04   0.422790E+02  -0.472735E+02   0.307526E+06   0.280014E+02
  1017   0.101008E+04   0.421235E+02  -0.485622E+02   0.307044E+06   0.274563E+02
  1018   0.101029E+04   0.419623E+02  -0.498356E+02   0.306563E+06   0.269163E+02
  1019   0.101062E+04   0.417953E+02  -0.510934E+02   0.306084E+06   0.263816E+02
  1020   0.101108E+04   0.416226E+02  -0.523348E+02   0.305605E+06   0.258520E+02
  1021   0.101166E+04   0.414444E+02  -0.535591E+02   0.305128E+06   0.253276E+02
  1022   0.101235E+04   0.412609E+02  -0.547657E+02   0.304652E+06   0.248084E+02
  1023   0.101315E+04   0.410721E+02  -0.559537E+02   0.304177E+06   0.242945E+02
  1024   0.101407E+04   0.408782E+02  -0.571226E+02   0.303703E+06   0.237857E+02
  1025   0.101508E+04   0.406796E+02  -0.582715E+02   0.303230E+06   0.232823E+02
  1026   0.101620E+04   0.404762E+02  -0.593998E+02   0.302759E+06   0.227841E+02
  1027   0.101742E+04   0.402681E+02  -0.605076E+02   0.302288E+06   0.222911E+02
  1028   0.101874E+04   0.400554E+02  -0.615949E+02   0.301819E+06   0.218035E+02
  1029   0.102016E+04   0.398382E+02  -0.626617E+02   0.301351E+06   0.213211E+02
  1030   0.102168E+04   0.396165E+02  -0.637080E+02   0.300884E+06   0.208440E+02
  1031   0.102330E+04   0.393904E+02  -0.647341E+02   0.300418E+06   0.203723E+02
  1032   0.102500E+04   0.391598E+02  -0.657399E+02   0.299953E+06   0.199059E+02
  1033   0.102681E+04   0.389250E+02  -0.667254E+02   0.299489E+06   0.194448E+02
  1034   0.102871E+04   0.386860E+02  -0.676900E+02   0.299027E+06   0.189891E+02
  1035   0.103071E+04   0.384429E+02  -0.686332E+02   0.298565E+06   0.185388E+02
  1036   0.103278E+04   0.381959E+02  -0.695542E+02   0.298105E+06   0.180938E+02
  1037   0.103493E+04   0.379452E+02  -0.704524E+02   0.297645E+06   0.176543E+02
  1038   0.103717E+04   0.376907E+02  -0.713272E+02   0.297187E+06   0.172201E+02
  1039   0.103948E+04   0.374328E+02  -0.721781E+02   0.296730E+06   0.167913E+02
  1040   0.104186E+04   0.371714E+02  -0.730043E+02   0.296274E+06   0.163680E+02
  1041   0.104431E+04   0.369067E+02  -0.738058E+02   0.295819E+06   0.159501E+02
  1042   0.104683E+04   0.366386E+02  -0.745825E+02   0.295365E+06   0.155377E+02
  1043   0.104941E+04   0.363673E+02  -0.753341E+02   0.294912E+06   0.151307E+02
  1044   0.105206E+04   0.360926E+02  -0.760612E+02   0.294460E+06   0.147292E+02
  1045   0.105477E+04   0.358147E+02  -0.767631E+02   0.294010E+06   0.143332E+02
  1046   0.105754E+04   0.355336E+02  -0.774405E+02   0.293560E+06   0.139427E+02
  1047   0.106037E+04   0.352492E+02  -0.780927E+02   0.293112E+06   0.135577E+02
  1048   0.106326E+04   0.349618E+02  -0.787196E+02   0.292664E+06   0.131783E+02
  1049   0.106620E+04   0.346716E+02  -0.793206E+02   0.292218E+06   0.128043E+02
  1050   0.106919E+04   0.343788E+02  -0.798971E+02   0.291772E+06   0.124359E+02
  1051   0.107223E+04   0.340837E+02  -0.804483E+02   0.291328E+06   0.120731E+02
  1052   0.107531E+04   0.337862E+02  -0.809736E+02   0.290885E+06   0.117158E+02
  1053   0.107843E+04   0.334868E+02  -0.814729E+02   0.290442E+06   0.113641E+02
  1054   0.108160E+04   0.331856E+02  -0.819462E+02   0.290001E+06   0.110178E+02
  1055   0.108480E+04   0.328827E+02  -0.823943E+02   0.289561E+06   0.106771E+02
  1056   0.108803E+04   0.325782E+02  -0.828164E+02   0.289122E+06   0.103419E+02
  1057   0.109129E+04   0.322722E+02  -0.832118E+02   0.288684E+06   0.100122E+02
  1058   0.109459E+04   0.319647E+02  -0.835819E+02   0.288247E+06   0.968788E+01
  1059   0.109790E+04   0.316559E+02  -0.839254E+02   0.287811E+06   0.936906E+01
  1060   0.110125E+04   0.313460E+02  -0.842421E+02   0.287376E+06   0.905569E+01
  1061   0.110461E+04   0.310349E+02  -0.845336E+02   0.286942E+06   0.874774E+01
  1062   0.110800E+04   0.307228E+02  -0.847977E+02   0.286509E+06   0.844522E+01
  1063   0.111140E+04   0.304098E+02  -0.850365E+02   0.286077E+06   0.814809E+01
  1064   0.111482E+04   0.300960E+02  -0.852486E+02   0.285646E+06   0.785636E+01
  1065   0.111825E+04   0.297816E+02  -0.854341E+02   0.285216E+06   0.757001E+01
  1066   0.112169E+04   0.294665E+02  -0.855942E+02   0.284788E+06   0.728902E+01
  1067   0.112512E+04   0.291510E+02  -0.857277E+02   0.284360E+06   0.701339E+01
  1068   0.112858E+04   0.288352E+02  -0.858352E+02   0.283933E+06   0.674309E+01
  1069   0.113202E+04   0.285192E+02  -0.859167E+02   0.283507E+06   0.647812E+01
  1070   0.113548E+04   0.282031E+02  -0.859723E+02   0.283082E+06   0.621846E+01
  1071   0.113892E+04   0.278870E+02  -0.860019E+02   0.282658E+06   0.596411E+01
  1072   0.114237E+04   0.275711E+02  -0.860062E+02   0.282235E+06   0.571504E+01
  1073   0.114580E+04   0.272555E+02  -0.859846E+02   0.281814E+06   0.547125E+01
  1074   0.114922E+04   0.269404E+02  -0.859378E+02   0.281393E+06   0.523271E+01
  1075   0.115263E+04   0.266258E+02  -0.858658E+02   0.280973E+06   0.499943E+01
  1076   0.115602E+04   0.263119E+02  -0.857678E+02   0.280554E+06   0.477138E+01
  1077   0.115940E+04   0.259987E+02  -0.856453E+02   0.280136E+06   0.454856E+01
  1078   0.116276E+04   0.256865E+02  -0.854983E+02   0.279719E+06   0.433094E+01
  1079   0.116610E+04   0.253754E+02  -0.853261E+02   0.279303E+06   0.411852E+01
  1080   0.116941E+04   0.250653E+02  -0.851302E+02   0.278888E+06   0.391128E+01
  1081   0.117270E+04   0.247566E+02  -0.849090E+02   0.278474E+06   0.370922E+01
  1082   0.117596E+04   0.244492E+02  -0.846642E+02   0.278061E+06   0.351231E+01
  1083   0.117918E+04   0.241433E+02  -0.843955E+02   0.277649E+06   0.332055E+01
  1084   0.118238E+04   0.238390E+02  -0.841032E+02   0.277238E+06   0.313392E+01
  1085   0.118554E+04   0.235365E+02  -0.837878E+02   0.276828E+06   0.295240E+01
  1086   0.118866E+04   0.232357E+02  -0.834480E+02   0.276419E+06   0.277600E+01
  1087   0.119175E+04   0.229368E+02  -0.830860E+02   0.276010E+06   0.260468E+01
  1088   0.119479E+04   0.226399E+02  -0.827009E+02   0.275603E+06   0.243845E+01
  1089   0.119779E+04   0.223452E+02  -0.822928E+02   0.275197E+06   0.227728E+01
  1090   0.120074E+04   0.220526E+02  -0.818626E+02   0.274791E+06   0.212117E+01
  1091   0.120364E+04   0.217624E+02  -0.814108E+02   0.274387E+06   0.197009E+01
  1092   0.120650E+04   0.214747E+02  -0.809367E+02   0.273983E+06   0.182405E+01
  1093   0.120930E+04   0.211895E+02  -0.804419E+02   0.273581E+06   0.168302E+01
  1094   0.121205E+04   0.209071E+02  -0.799256E+02   0.273179E+06   0.154699E+01
  1095   0.121475E+04   0.206274E+02  -0.793893E+02   0.272779E+06   0.141595E+01
  1096   0.121739E+04   0.203506E+02  -0.788322E+02   0.272379E+06   0.128988E+01
  1097   0.121997E+04   0.200769E+02  -0.782551E+02   0.271980E+06   0.116878E+01
  1098   0.122250E+04   0.198062E+02  -0.776587E+02   0.271582E+06   0.105263E+01
  1099   0.122496E+04   0.195388E+02  -0.770431E+02   0.271185E+06   0.941418E+00
  1100   0.122737E+04   0.192747E+02  -0.764089E+02   0.270789E+06   0.835128E+00
  1101   0.122970E+04   0.190138E+02  -0.757555E+02   0.270394E+06   0.733744E+00
  1102   0.123198E+04   0.187564E+02  -0.750843E+02   0.270000E+06   0.637234E+00
  1103   0.123418E+04   0.185025E+02  -0.743945E+02   0.269606E+06   0.545560E+00
  1104   0.123632E+04   0.182523E+02  -0.736876E+02   0.269214E+06   0.458684E+00
  1105   0.123838E+04   0.180057E+02  -0.729636E+02   0.268822E+06   0.376567E+00
  1106   0.124037E+04   0.177630E+02  -0.722228E+02   0.268432E+06   0.299174E+00
  1107   0.124230E+04   0.175240E+02  -0.714658E+02   0.268042E+06   0.226465E+00
  1108   0.124414E+04   0.172890E+02  -0.706929E+02   0.267653E+06   0.158403E+00
  1109   0.124592E+04   0.170581E+02  -0.699045E+02   0.267265E+06   0.949507E-01
  1110   0.124761E+04   0.168313E+02  -0.691010E+02   0.266878E+06   0.360701E-01
  1111   0.124923E+04   0.166087E+02  -0.682830E+02   0.266492E+06  -0.182765E-01
  1112   0.125077E+04   0.163902E+02  -0.674507E+02   0.266107E+06  -0.681268E-01
  1113   0.125223E+04   0.161762E+02  -0.666047E+02   0.265723E+06  -0.113519E+00
  1114   0.125362E+04   0.159665E+02  -0.657453E+02   0.265339E+06  -0.154489E+00
  1115   0.125492E+04   0.157613E+02  -0.648731E+02   0.264957E+06  -0.191077E+00
  1116   0.125614E+04   0.155607E+02  -0.639884E+02   0.264575E+06  -0.223319E+00
  1117   0.125727E+04   0.153645E+02  -0.630917E+02   0.264194E+06  -0.251253E+00
  1118   0.125833E+04   0.151731E+02  -0.621834E+02   0.263814E+06  -0.274917E+00
  1119   0.125930E+04   0.149864E+02  -0.612640E+02   0.263435E+06  -0.294349E+00
  1120   0.126017E+04   0.148044E+02  -0.603338E+02   0.263057E+06  -0.309585E+00
  1121   0.126097E+04   0.146273E+02  -0.593934E+02   0.262680E+06  -0.320665E+00
  1122   0.126168E+04   0.144550E+02  -0.584432E+02   0.262303E+06  -0.327626E+00
  1123   0.126229E+04   0.142876E+02  -0.574835E+02   0.261928E+06  -0.330505E+00
  1124   0.126283E+04   0.141253E+02  -0.565149E+02   0.261553E+06  -0.329339E+00
  1125   0.126327E+04   0.139679E+02  -0.555377E+02   0.261179E+06  -0.324168E+00
  1126   0.126361E+04   0.138156E+02  -0.545527E+02   0.260806E+06  -0.315028E+00
  1127   0.126387E+04   0.136684E+02  -0.535601E+02   0.260434E+06  -0.301957E+00
  1128   0.126404E+04   0.135264E+02  -0.525607E+02   0.260063E+06  -0.284994E+00
  1129   0.126412E+04   0.133896E+02  -0.515548E+02   0.259692E+06  -0.264174E+00
  1130   0.126412E+04   0.132579E+02  -0.505430E+02   0.259323E+06  -0.239537E+00
  1131   0.126401E+04   0.131316E+02  -0.495257E+02   0.258954E+06  -0.211120E+00
  1132   0.126382E+04   0.130106E+02  -0.485035E+02   0.258586E+06  -0.178960E+00
  1133   0.126354E+04   0.128949E+02  -0.474767E+02   0.258219E+06  -0.143096E+00
  1134   0.126317E+04   0.127846E+02  -0.464459E+02   0.257853E+06  -0.103565E+00
  1135   0.126270E+04   0.126797E+02  -0.454114E+02   0.257487E+06  -0.604046E-01
  1136   0.126215E+04   0.125801E+02  -0.443737E+02   0.257123E+06  -0.136526E-01
  1137   0.126149E+04   0.124860E+02  -0.433334E+02   0.256759E+06   0.366532E-01
  1138   0.126075E+04   0.123973E+02  -0.422907E+02   0.256396E+06   0.904752E-01
  1139   0.125993E+04   0.123140E+02  -0.412463E+02   0.256034E+06   0.147776E+00
  1140   0.125899E+04   0.122362E+02  -0.402005E+02   0.255673E+06   0.208517E+00
  1141   0.125798E+04   0.121638E+02  -0.391539E+02   0.255313E+06   0.272661E+00
  1142   0.125687E+04   0.120969E+02  -0.381070E+02   0.254953E+06   0.340171E+00
  1143   0.125567E+04   0.120355E+02  -0.370602E+02   0.254594E+06   0.411008E+00
  1144   0.125437E+04   0.119796E+02  -0.360139E+02   0.254236E+06   0.485136E+00
  1145   0.125299E+04   0.119292E+02  -0.349688E+02   0.253879E+06   0.562515E+00
  1146   0.125151E+04   0.118842E+02  -0.339252E+02   0.253523E+06   0.643110E+00
  1147   0.124995E+04   0.118448E+02  -0.328835E+02   0.253167E+06   0.726881E+00
  1148   0.124829E+04   0.118109E+02  -0.318443E+02   0.252812E+06   0.813791E+00
  1149   0.124654E+04   0.117824E+02  -0.308080E+02   0.252458E+06   0.903803E+00
  1150   0.124471E+04   0.117593E+02  -0.297749E+02   0.252105E+06   0.996879E+00
  1151   0.124278E+04   0.117416E+02  -0.287456E+02   0.251753E+06   0.109298E+01
  1152   0.124077E+04   0.117295E+02  -0.277205E+02   0.251401E+06   0.119208E+01
  1153   0.123867E+04   0.117227E+02  -0.267000E+02   0.251051E+06   0.129414E+01
  1154   0.123648E+04   0.117213E+02  -0.256846E+02   0.250701E+06   0.139914E+01
  1155   0.123421E+04   0.117253E+02  -0.246748E+02   0.250351E+06   0.150704E+01
  1156   0.123184E+04   0.117346E+02  -0.236709E+02   0.250003E+06   0.161782E+01
  1157   0.122940E+04   0.117492E+02  -0.226734E+02   0.249655E+06   0.173143E+01
  1158   0.122687E+04   0.117691E+02  -0.216827E+02   0.249309E+06   0.184786E+01
  1159   0.122427E+04   0.117943E+02  -0.206994E+02   0.248962E+06   0.196708E+01
  1160   0.122158E+04   0.118247E+02  -0.197237E+02   0.248617E+06   0.208904E+01
  1161   0.121881E+04   0.118603E+02  -0.187561E+02   0.248273E+06   0.221372E+01
  1162   0.121596E+04   0.119011E+02  -0.177970E+02   0.247929E+06   0.234109E+01
  1163   0.121304E+04   0.119469E+02  -0.168466E+02   0.247586E+06   0.247112E+01
  1164   0.121004E+04   0.119979E+02  -0.159056E+02   0.247244E+06   0.260378E+01
  1165   0.120697E+04   0.120538E+02  -0.149741E+02   0.246902E+06   0.273904E+01
  1166   0.120381E+04   0.121148E+02  -0.140527E+02   0.246562E+06   0.287687E+01
  1167   0.120058E+04   0.121807E+02  -0.131416E+02   0.246222E+06   0.301723E+01
  1168   0.119728E+04   0.122515E+02  -0.122413E+02   0.245883E+06   0.316010E+01
  1169   0.119391E+04   0.123272E+02  -0.113520E+02   0.245544E+06   0.330545E+01
  1170   0.119046E+04   0.124076E+02  -0.104742E+02   0.245207E+06   0.345324E+01
  1171   0.118695E+04   0.124928E+02  -0.960821E+01   0.244870E+06   0.360344E+01
  1172   0.118337E+04   0.125827E+02  -0.875437E+01   0.244534E+06   0.375603E+01
  1173   0.117973E+04   0.126772E+02  -0.791307E+01   0.244198E+06   0.391098E+01
  1174   0.117602E+04   0.127762E+02  -0.708466E+01   0.243864E+06   0.406824E+01
  1175   0.117224E+04   0.128798E+02  -0.626939E+01   0.243530E+06   0.422780E+01
  1176   0.116841E+04   0.129878E+02  -0.546759E+01   0.243197E+06   0.438962E+01
