#    L    TT             EE             BB             TE          
    91   0.242159E+04   0.633200E+00   0.264366E-02  -0.172449E+02
    92   0.245083E+04   0.648612E+00   0.270249E-02  -0.178771E+02
    93   0.248029E+04   0.663993E+00   0.276200E-02  -0.185135E+02
    94   0.250996E+04   0.679332E+00   0.282220E-02  -0.191541E+02
    95   0.253986E+04   0.694613E+00   0.288308E-02  -0.197982E+02
    96   0.256998E+04   0.709823E+00   0.294465E-02  -0.204455E+02
    97   0.260033E+04   0.724947E+00   0.300692E-02  -0.210955E+02
    98   0.263090E+04   0.739969E+00   0.306989E-02  -0.217479E+02
    99   0.266168E+04   0.754876E+00   0.313356E-02  -0.224021E+02
   100   0.269268E+04   0.769657E+00   0.319794E-02  -0.230576E+02
   101   0.272390E+04   0.784296E+00   0.326302E-02  -0.237140E+02
   102   0.275533E+04   0.798772E+00   0.332883E-02  -0.243709E+02
   103   0.278696E+04   0.813086E+00   0.339535E-02  -0.250275E+02
   104   0.281880E+04   0.827207E+00   0.346260E-02  -0.256836E+02
   105   0.285083E+04   0.841129E+00   0.353058E-02  -0.263385E+02
   106   0.288304E+04   0.854838E+00   0.359929E-02  -0.269916E+02
   107   0.291544E+04   0.868326E+00   0.366874E-02  -0.276424E+02
   108   0.294799E+04   0.881571E+00   0.373894E-02  -0.282905E+02
   109   0.298073E+04   0.894567E+00   0.380988E-02  -0.289351E+02
   110   0.301361E+04   0.907290E+00   0.388158E-02  -0.295758E+02
   111   0.304665E+04   0.919736E+00   0.395405E-02  -0.302122E+02
   112   0.307984E+04   0.931895E+00   0.402727E-02  -0.308434E+02
   113   0.311317E+04   0.943745E+00   0.410127E-02  -0.314691E+02
   114   0.314664E+04   0.955272E+00   0.417605E-02  -0.320886E+02
   115   0.318023E+04   0.966476E+00   0.425161E-02  -0.327013E+02
   116   0.321395E+04   0.977342E+00   0.432796E-02  -0.333068E+02
   117   0.324778E+04   0.987847E+00   0.440511E-02  -0.339043E+02
   118   0.328171E+04   0.997992E+00   0.448306E-02  -0.344934E+02
   119   0.331575E+04   0.100776E+01   0.456181E-02  -0.350735E+02
   120   0.334988E+04   0.101715E+01   0.464138E-02  -0.356440E+02
   121   0.338409E+04   0.102614E+01   0.472177E-02  -0.362044E+02
   122   0.341837E+04   0.103472E+01   0.480298E-02  -0.367540E+02
   123   0.345272E+04   0.104289E+01   0.488502E-02  -0.372925E+02
   124   0.348713E+04   0.105064E+01   0.496790E-02  -0.378190E+02
   125   0.352159E+04   0.105795E+01   0.505163E-02  -0.383332E+02
   126   0.355609E+04   0.106483E+01   0.513620E-02  -0.388346E+02
   127   0.359062E+04   0.107126E+01   0.522164E-02  -0.393224E+02
   128   0.362517E+04   0.107723E+01   0.530793E-02  -0.397963E+02
   129   0.365974E+04   0.108275E+01   0.539510E-02  -0.402558E+02
   130   0.369432E+04   0.108780E+01   0.548313E-02  -0.407001E+02
   131   0.372889E+04   0.109237E+01   0.557205E-02  -0.411289E+02
   132   0.376345E+04   0.109647E+01   0.566186E-02  -0.415417E+02
   133   0.379799E+04   0.110009E+01   0.575256E-02  -0.419379E+02
   134   0.383251E+04   0.110324E+01   0.584416E-02  -0.423171E+02
   135   0.386698E+04   0.110589E+01   0.593666E-02  -0.426790E+02
   136   0.390143E+04   0.110806E+01   0.603007E-02  -0.430229E+02
   137   0.393582E+04   0.110974E+01   0.612440E-02  -0.433484E+02
   138   0.397015E+04   0.111093E+01   0.621966E-02  -0.436552E+02
   139   0.400441E+04   0.111163E+01   0.631584E-02  -0.439428E+02
   140   0.403861E+04   0.111185E+01   0.641295E-02  -0.442107E+02
   141   0.407272E+04   0.111158E+01   0.651100E-02  -0.444588E+02
   142   0.410674E+04   0.111083E+01   0.660999E-02  -0.446863E+02
   143   0.414067E+04   0.110960E+01   0.670993E-02  -0.448932E+02
   144   0.417449E+04   0.110789E+01   0.681082E-02  -0.450788E+02
   145   0.420819E+04   0.110570E+01   0.691268E-02  -0.452429E+02
   146   0.424176E+04   0.110304E+01   0.701549E-02  -0.453850E+02
   147   0.427517E+04   0.109993E+01   0.711927E-02  -0.455048E+02
   148   0.430843E+04   0.109636E+01   0.722402E-02  -0.456018E+02
   149   0.434151E+04   0.109234E+01   0.732975E-02  -0.456757E+02
   150   0.437440E+04   0.108788E+01   0.743646E-02  -0.457260E+02
   151   0.440707E+04   0.108298E+01   0.754414E-02  -0.457526E+02
   152   0.443955E+04   0.107766E+01   0.765282E-02  -0.457550E+02
   153   0.447180E+04   0.107192E+01   0.776248E-02  -0.457329E+02
   154   0.450383E+04   0.106579E+01   0.787314E-02  -0.456863E+02
   155   0.453563E+04   0.105927E+01   0.798479E-02  -0.456147E+02
   156   0.456722E+04   0.105237E+01   0.809743E-02  -0.455181E+02
   157   0.459856E+04   0.104509E+01   0.821108E-02  -0.453960E+02
   158   0.462966E+04   0.103747E+01   0.832573E-02  -0.452483E+02
   159   0.466051E+04   0.102951E+01   0.844138E-02  -0.450748E+02
   160   0.469110E+04   0.102123E+01   0.855804E-02  -0.448753E+02
   161   0.472141E+04   0.101264E+01   0.867571E-02  -0.446495E+02
   162   0.475142E+04   0.100376E+01   0.879438E-02  -0.443973E+02
   163   0.478114E+04   0.994618E+00   0.891406E-02  -0.441184E+02
   164   0.481054E+04   0.985214E+00   0.903475E-02  -0.438127E+02
   165   0.483962E+04   0.975571E+00   0.915644E-02  -0.434800E+02
   166   0.486836E+04   0.965712E+00   0.927915E-02  -0.431202E+02
   167   0.489675E+04   0.955658E+00   0.940286E-02  -0.427332E+02
   168   0.492480E+04   0.945432E+00   0.952759E-02  -0.423189E+02
   169   0.495248E+04   0.935057E+00   0.965332E-02  -0.418773E+02
   170   0.497979E+04   0.924548E+00   0.978005E-02  -0.414083E+02
   171   0.500673E+04   0.913933E+00   0.990778E-02  -0.409118E+02
   172   0.503328E+04   0.903236E+00   0.100365E-01  -0.403878E+02
   173   0.505944E+04   0.892480E+00   0.101663E-01  -0.398362E+02
