#    L    TT             EE             BB             TE          
    90    0.13676E+02    0.96633E-02    0.66961E-02   -0.28160E+00
    91    0.13281E+02    0.97169E-02    0.66883E-02   -0.27919E+00
    92    0.12891E+02    0.97665E-02    0.66774E-02   -0.27663E+00
    93    0.12508E+02    0.98122E-02    0.66635E-02   -0.27393E+00
    94    0.12130E+02    0.98540E-02    0.66467E-02   -0.27108E+00
    95    0.11757E+02    0.98919E-02    0.66270E-02   -0.26810E+00
    96    0.11391E+02    0.99259E-02    0.66044E-02   -0.26498E+00
    97    0.11031E+02    0.99560E-02    0.65792E-02   -0.26175E+00
    98    0.10677E+02    0.99823E-02    0.65512E-02   -0.25839E+00
    99    0.10329E+02    0.10005E-01    0.65206E-02   -0.25492E+00
   100    0.99869E+01    0.10023E-01    0.64874E-02   -0.25134E+00
   101    0.96514E+01    0.10038E-01    0.64518E-02   -0.24766E+00
   102    0.93222E+01    0.10049E-01    0.64137E-02   -0.24389E+00
   103    0.89995E+01    0.10056E-01    0.63733E-02   -0.24002E+00
   104    0.86832E+01    0.10060E-01    0.63305E-02   -0.23607E+00
   105    0.83735E+01    0.10060E-01    0.62855E-02   -0.23204E+00
   106    0.80705E+01    0.10056E-01    0.62384E-02   -0.22793E+00
   107    0.77741E+01    0.10048E-01    0.61891E-02   -0.22375E+00
   108    0.74845E+01    0.10037E-01    0.61378E-02   -0.21952E+00
   109    0.72018E+01    0.10022E-01    0.60845E-02   -0.21522E+00
   110    0.69260E+01    0.10003E-01    0.60293E-02   -0.21087E+00
   111    0.66571E+01    0.99805E-02    0.59723E-02   -0.20648E+00
   112    0.63952E+01    0.99546E-02    0.59134E-02   -0.20204E+00
   113    0.61401E+01    0.99252E-02    0.58529E-02   -0.19757E+00
   114    0.58918E+01    0.98923E-02    0.57908E-02   -0.19306E+00
   115    0.56502E+01    0.98559E-02    0.57272E-02   -0.18852E+00
   116    0.54154E+01    0.98161E-02    0.56621E-02   -0.18396E+00
   117    0.51871E+01    0.97730E-02    0.55957E-02   -0.17938E+00
   118    0.49654E+01    0.97266E-02    0.55280E-02   -0.17478E+00
   119    0.47503E+01    0.96770E-02    0.54591E-02   -0.17017E+00
   120    0.45415E+01    0.96242E-02    0.53892E-02   -0.16556E+00
   121    0.43391E+01    0.95682E-02    0.53181E-02   -0.16093E+00
   122    0.41431E+01    0.95091E-02    0.52462E-02   -0.15631E+00
   123    0.39533E+01    0.94470E-02    0.51734E-02   -0.15170E+00
   124    0.37697E+01    0.93819E-02    0.50998E-02   -0.14709E+00
   125    0.35922E+01    0.93138E-02    0.50255E-02   -0.14250E+00
   126    0.34209E+01    0.92428E-02    0.49506E-02   -0.13793E+00
   127    0.32555E+01    0.91690E-02    0.48751E-02   -0.13338E+00
   128    0.30961E+01    0.90923E-02    0.47993E-02   -0.12885E+00
   129    0.29426E+01    0.90130E-02    0.47230E-02   -0.12436E+00
   130    0.27949E+01    0.89309E-02    0.46465E-02   -0.11990E+00
   131    0.26530E+01    0.88461E-02    0.45698E-02   -0.11548E+00
   132    0.25167E+01    0.87588E-02    0.44929E-02   -0.11111E+00
   133    0.23860E+01    0.86691E-02    0.44159E-02   -0.10677E+00
   134    0.22608E+01    0.85771E-02    0.43390E-02   -0.10249E+00
   135    0.21409E+01    0.84828E-02    0.42620E-02   -0.98254E-01
   136    0.20262E+01    0.83865E-02    0.41852E-02   -0.94071E-01
   137    0.19165E+01    0.82881E-02    0.41085E-02   -0.89942E-01
   138    0.18119E+01    0.81879E-02    0.40321E-02   -0.85871E-01
   139    0.17122E+01    0.80859E-02    0.39559E-02   -0.81859E-01
   140    0.16172E+01    0.79823E-02    0.38801E-02   -0.77909E-01
   141    0.15269E+01    0.78771E-02    0.38046E-02   -0.74024E-01
   142    0.14411E+01    0.77705E-02    0.37296E-02   -0.70206E-01
   143    0.13597E+01    0.76626E-02    0.36552E-02   -0.66458E-01
   144    0.12827E+01    0.75534E-02    0.35813E-02   -0.62783E-01
   145    0.12099E+01    0.74432E-02    0.35080E-02   -0.59181E-01
   146    0.11411E+01    0.73320E-02    0.34355E-02   -0.55658E-01
   147    0.10764E+01    0.72199E-02    0.33637E-02   -0.52214E-01
   148    0.10155E+01    0.71071E-02    0.32927E-02   -0.48852E-01
   149    0.95832E+00    0.69936E-02    0.32226E-02   -0.45575E-01
   150    0.90482E+00    0.68796E-02    0.31534E-02   -0.42385E-01
   151    0.85486E+00    0.67651E-02    0.30853E-02   -0.39285E-01
   152    0.80832E+00    0.66503E-02    0.30181E-02   -0.36274E-01
   153    0.76510E+00    0.65352E-02    0.29520E-02   -0.33353E-01
   154    0.72510E+00    0.64199E-02    0.28869E-02   -0.30520E-01
   155    0.68822E+00    0.63045E-02    0.28229E-02   -0.27777E-01
   156    0.65435E+00    0.61891E-02    0.27600E-02   -0.25121E-01
   157    0.62340E+00    0.60737E-02    0.26982E-02   -0.22554E-01
   158    0.59525E+00    0.59584E-02    0.26375E-02   -0.20075E-01
   159    0.56980E+00    0.58433E-02    0.25780E-02   -0.17684E-01
   160    0.54695E+00    0.57285E-02    0.25197E-02   -0.15379E-01
   161    0.52660E+00    0.56140E-02    0.24626E-02   -0.13162E-01
   162    0.50864E+00    0.55000E-02    0.24067E-02   -0.11032E-01
