#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.14980E+04    0.14960E+00    0.00000E+00   -0.28076E+00    0.13199E-06    0.74872E-03   -0.10859E-05
    55    0.15187E+04    0.15867E+00    0.00000E+00   -0.52437E+00    0.13141E-06    0.73469E-03   -0.10996E-05
    56    0.15397E+04    0.16802E+00    0.00000E+00   -0.78086E+00    0.13081E-06    0.72131E-03   -0.98585E-06
    57    0.15610E+04    0.17754E+00    0.00000E+00   -0.10498E+01    0.13021E-06    0.70853E-03   -0.78351E-06
    58    0.15827E+04    0.18722E+00    0.00000E+00   -0.13315E+01    0.12960E-06    0.69628E-03   -0.54676E-06
    59    0.16045E+04    0.19710E+00    0.00000E+00   -0.16264E+01    0.12897E-06    0.68449E-03   -0.32970E-06
    60    0.16264E+04    0.20723E+00    0.00000E+00   -0.19335E+01    0.12834E-06    0.67310E-03   -0.18632E-06
    61    0.16489E+04    0.21770E+00    0.00000E+00   -0.22516E+01    0.12770E-06    0.66203E-03   -0.15615E-06
    62    0.16712E+04    0.22849E+00    0.00000E+00   -0.25820E+01    0.12705E-06    0.65122E-03   -0.22115E-06
    63    0.16936E+04    0.23957E+00    0.00000E+00   -0.29258E+01    0.12639E-06    0.64058E-03   -0.34889E-06
    64    0.17164E+04    0.25096E+00    0.00000E+00   -0.32847E+01    0.12573E-06    0.63006E-03   -0.50705E-06
    65    0.17393E+04    0.26264E+00    0.00000E+00   -0.36596E+01    0.12507E-06    0.61959E-03   -0.66331E-06
    66    0.17624E+04    0.27454E+00    0.00000E+00   -0.40489E+01    0.12440E-06    0.60911E-03   -0.79048E-06
    67    0.17858E+04    0.28667E+00    0.00000E+00   -0.44499E+01    0.12373E-06    0.59872E-03   -0.88151E-06
    68    0.18095E+04    0.29906E+00    0.00000E+00   -0.48611E+01    0.12305E-06    0.58851E-03   -0.93443E-06
    69    0.18335E+04    0.31167E+00    0.00000E+00   -0.52809E+01    0.12238E-06    0.57859E-03   -0.94723E-06
    70    0.18577E+04    0.32453E+00    0.00000E+00   -0.57110E+01    0.12170E-06    0.56906E-03   -0.91794E-06
    71    0.18821E+04    0.33764E+00    0.00000E+00   -0.61539E+01    0.12102E-06    0.56001E-03   -0.84767E-06
    72    0.19066E+04    0.35097E+00    0.00000E+00   -0.66107E+01    0.12034E-06    0.55140E-03   -0.75000E-06
    73    0.19314E+04    0.36448E+00    0.00000E+00   -0.70817E+01    0.11966E-06    0.54319E-03   -0.64157E-06
    74    0.19563E+04    0.37816E+00    0.00000E+00   -0.75657E+01    0.11898E-06    0.53533E-03   -0.53904E-06
    75    0.19815E+04    0.39202E+00    0.00000E+00   -0.80609E+01    0.11829E-06    0.52774E-03   -0.45901E-06
    76    0.20070E+04    0.40606E+00    0.00000E+00   -0.85665E+01    0.11761E-06    0.52040E-03   -0.41476E-06
    77    0.20329E+04    0.42027E+00    0.00000E+00   -0.90824E+01    0.11692E-06    0.51324E-03   -0.40614E-06
    78    0.20591E+04    0.43468E+00    0.00000E+00   -0.96101E+01    0.11623E-06    0.50622E-03   -0.42967E-06
    79    0.20855E+04    0.44923E+00    0.00000E+00   -0.10146E+02    0.11555E-06    0.49929E-03   -0.48190E-06
    80    0.21122E+04    0.46393E+00    0.00000E+00   -0.10691E+02    0.11486E-06    0.49241E-03   -0.55934E-06
    81    0.21391E+04    0.47873E+00    0.00000E+00   -0.11247E+02    0.11418E-06    0.48554E-03   -0.65742E-06
    82    0.21662E+04    0.49364E+00    0.00000E+00   -0.11813E+02    0.11350E-06    0.47870E-03   -0.76702E-06
    83    0.21936E+04    0.50865E+00    0.00000E+00   -0.12387E+02    0.11281E-06    0.47193E-03   -0.87795E-06
    84    0.22212E+04    0.52375E+00    0.00000E+00   -0.12969E+02    0.11213E-06    0.46526E-03   -0.98000E-06
    85    0.22489E+04    0.53891E+00    0.00000E+00   -0.13559E+02    0.11146E-06    0.45873E-03   -0.10630E-05
    86    0.22768E+04    0.55415E+00    0.00000E+00   -0.14157E+02    0.11078E-06    0.45237E-03   -0.11192E-05
    87    0.23052E+04    0.56944E+00    0.00000E+00   -0.14762E+02    0.11011E-06    0.44618E-03   -0.11514E-05
    88    0.23335E+04    0.58479E+00    0.00000E+00   -0.15373E+02    0.10944E-06    0.44014E-03   -0.11645E-05
    89    0.23622E+04    0.60018E+00    0.00000E+00   -0.15992E+02    0.10877E-06    0.43427E-03   -0.11638E-05
    90    0.23912E+04    0.61557E+00    0.00000E+00   -0.16616E+02    0.10810E-06    0.42853E-03   -0.11543E-05
    91    0.24202E+04    0.63097E+00    0.00000E+00   -0.17245E+02    0.10744E-06    0.42295E-03   -0.11403E-05
    92    0.24496E+04    0.64635E+00    0.00000E+00   -0.17879E+02    0.10678E-06    0.41749E-03   -0.11231E-05
    93    0.24792E+04    0.66171E+00    0.00000E+00   -0.18518E+02    0.10613E-06    0.41217E-03   -0.11031E-05
    94    0.25090E+04    0.67701E+00    0.00000E+00   -0.19160E+02    0.10547E-06    0.40698E-03   -0.10805E-05
    95    0.25390E+04    0.69224E+00    0.00000E+00   -0.19807E+02    0.10482E-06    0.40191E-03   -0.10558E-05
    96    0.25690E+04    0.70741E+00    0.00000E+00   -0.20456E+02    0.10418E-06    0.39695E-03   -0.10294E-05
    97    0.25994E+04    0.72248E+00    0.00000E+00   -0.21109E+02    0.10354E-06    0.39212E-03   -0.10016E-05
    98    0.26301E+04    0.73745E+00    0.00000E+00   -0.21762E+02    0.10290E-06    0.38739E-03   -0.97279E-06
    99    0.26609E+04    0.75229E+00    0.00000E+00   -0.22419E+02    0.10226E-06    0.38276E-03   -0.94339E-06
   100    0.26919E+04    0.76700E+00    0.00000E+00   -0.23075E+02    0.10163E-06    0.37824E-03   -0.91376E-06
   101    0.27232E+04    0.78163E+00    0.00000E+00   -0.23733E+02    0.10100E-06    0.37381E-03   -0.88427E-06
   102    0.27549E+04    0.79603E+00    0.00000E+00   -0.24391E+02    0.10037E-06    0.36948E-03   -0.85531E-06
   103    0.27866E+04    0.81029E+00    0.00000E+00   -0.25050E+02    0.99749E-07    0.36523E-03   -0.82724E-06
