# lensed Cls calculated from the lensit 10-11 box structure and unlensed Cls
# L          TT          EE          BB          TE
  226 6.989211e-01 1.297236e-04 2.263664e-06 2.915082e-03
  227 6.923782e-01 1.326912e-04 2.264172e-06 3.088593e-03
  228 6.857896e-01 1.358741e-04 2.265613e-06 3.260783e-03
  229 6.792798e-01 1.391559e-04 2.266072e-06 3.429338e-03
  230 6.726846e-01 1.426511e-04 2.267760e-06 3.597156e-03
  232 6.596638e-01 1.500238e-04 2.269253e-06 3.923252e-03
  233 6.531480e-01 1.539650e-04 2.269886e-06 4.082943e-03
  234 6.466644e-01 1.580287e-04 2.270615e-06 4.239312e-03
  235 6.401741e-01 1.622592e-04 2.271407e-06 4.393855e-03
  237 6.272972e-01 1.711216e-04 2.271964e-06 4.693403e-03
  240 6.081130e-01 1.854737e-04 2.273373e-06 5.122371e-03
  241 6.017728e-01 1.905280e-04 2.273073e-06 5.259758e-03
  242 5.954286e-01 1.957420e-04 2.273035e-06 5.394590e-03
  243 5.890777e-01 2.011058e-04 2.273474e-06 5.526822e-03
  244 5.827962e-01 2.065626e-04 2.272876e-06 5.655389e-03
  247 5.640540e-01 2.237106e-04 2.272477e-06 6.024831e-03
  248 5.578900e-01 2.296638e-04 2.272695e-06 6.141810e-03
  250 5.455204e-01 2.420237e-04 2.271817e-06 6.367803e-03
  251 5.394479e-01 2.483192e-04 2.270790e-06 6.475916e-03
  252 5.333236e-01 2.547696e-04 2.270721e-06 6.581492e-03
  253 5.272565e-01 2.613349e-04 2.269602e-06 6.683946e-03
  255 5.152258e-01 2.747515e-04 2.267676e-06 6.879473e-03
  256 5.092462e-01 2.816417e-04 2.266125e-06 6.972753e-03
  258 4.973918e-01 2.956603e-04 2.264118e-06 7.150079e-03
  260 4.856837e-01 3.100457e-04 2.262827e-06 7.315931e-03
  261 4.798788e-01 3.173696e-04 2.261456e-06 7.393157e-03
  263 4.683483e-01 3.323143e-04 2.258749e-06 7.541002e-03
  264 4.626228e-01 3.399015e-04 2.255952e-06 7.610123e-03
  266 4.513374e-01 3.552549e-04 2.254026e-06 7.738948e-03
  267 4.457148e-01 3.630495e-04 2.252463e-06 7.798458e-03
