# grad lensed Cls calculated from the lensit 10-11 box structure and unlensed Cls
# L          TT          EE          BB          TE
  224 7.122881e-01 1.261274e-04 2.952515e-06 2.576534e-03
  226 6.990072e-01 1.317310e-04 2.947623e-06 2.932743e-03
  227 6.924626e-01 1.347016e-04 2.946731e-06 3.106172e-03
  228 6.858683e-01 1.378934e-04 2.943780e-06 3.278127e-03
  229 6.793565e-01 1.411784e-04 2.942787e-06 3.446618e-03
  230 6.727537e-01 1.446846e-04 2.939004e-06 3.614128e-03
  232 6.597258e-01 1.520685e-04 2.934853e-06 3.939890e-03
  233 6.532028e-01 1.560193e-04 2.931753e-06 4.099425e-03
  234 6.467159e-01 1.600882e-04 2.929595e-06 4.255613e-03
  235 6.402207e-01 1.643264e-04 2.926269e-06 4.409880e-03
  237 6.273356e-01 1.732003e-04 2.921733e-06 4.709145e-03
  240 6.081409e-01 1.875681e-04 2.913686e-06 5.137431e-03
  241 6.017969e-01 1.926278e-04 2.911548e-06 5.274730e-03
  242 5.954475e-01 1.978494e-04 2.907793e-06 5.409312e-03
  243 5.890922e-01 2.032202e-04 2.903418e-06 5.541157e-03
  244 5.828059e-01 2.086832e-04 2.900615e-06 5.669610e-03
  247 5.640535e-01 2.258463e-04 2.891176e-06 6.038347e-03
  248 5.578889e-01 2.318007e-04 2.889957e-06 6.155193e-03
  250 5.455100e-01 2.441734e-04 2.880302e-06 6.380447e-03
  251 5.394345e-01 2.504733e-04 2.878276e-06 6.488516e-03
  252 5.333075e-01 2.569274e-04 2.874267e-06 6.593723e-03
  253 5.272358e-01 2.634991e-04 2.869559e-06 6.695889e-03
  255 5.151984e-01 2.769248e-04 2.861887e-06 6.890907e-03
  256 5.092143e-01 2.838208e-04 2.856698e-06 6.983865e-03
  258 4.973539e-01 2.978473e-04 2.848694e-06 7.160641e-03
  260 4.856420e-01 3.122372e-04 2.841728e-06 7.325937e-03
  261 4.798339e-01 3.195648e-04 2.837619e-06 7.402901e-03
  263 4.682976e-01 3.345160e-04 2.827840e-06 7.550046e-03
  264 4.625680e-01 3.421087e-04 2.821826e-06 7.618854e-03
  266 4.512793e-01 3.574652e-04 2.815222e-06 7.747207e-03
  267 4.456543e-01 3.652618e-04 2.810227e-06 7.806352e-03
  269 4.345353e-01 3.810552e-04 2.800252e-06 7.916840e-03
  270 4.290065e-01 3.890644e-04 2.793589e-06 7.967158e-03
  272 4.181250e-01 4.051973e-04 2.784971e-06 8.059799e-03
  273 4.127142e-01 4.133499e-04 2.778456e-06 8.101843e-03
  275 4.020853e-01 4.297360e-04 2.771003e-06 8.176901e-03
  278 3.863785e-01 4.546631e-04 2.753012e-06 8.266408e-03
  279 3.812258e-01 4.630121e-04 2.748974e-06 8.290170e-03
  280 3.761076e-01 4.714033e-04 2.743066e-06 8.311778e-03
  281 3.710639e-01 4.798076e-04 2.739006e-06 8.330562e-03
  282 3.660127e-01 4.882487e-04 2.731358e-06 8.346006e-03
  283 3.610236e-01 4.967003e-04 2.724708e-06 8.359113e-03
  285 3.512168e-01 5.135849e-04 2.716252e-06 8.377472e-03
  286 3.463253e-01 5.220840e-04 2.706470e-06 8.380487e-03
  287 3.415404e-01 5.305117e-04 2.705775e-06 8.384131e-03
  289 3.320274e-01 5.474487e-04 2.692080e-06 8.380163e-03
